method,val_auc,test_auc
Max Pooling + LogReg,0.6666666666666667,0.8
Mean Pooling + LogReg (C=0.001),0.8,0.65
Mean Pooling + LogReg (C=0.1),0.2,0.55
Mean Pooling + LogReg (C=0.01),0.6,0.55
Attention MIL (Ensemble),0.8666666666666667,0.55
Multi-feature + LogReg,0.33333333333333337,0.55
Mean Pooling + Random Forest,0.23333333333333336,0.55
Gradient Boosting,0.4,0.55
Attention MIL (Single),0.4666666666666667,0.55
Mean Pooling + LogReg (C=1.0),0.13333333333333336,0.5
SMOTE + LogReg,0.33333333333333337,0.49999999999999994
Normalized + SVM,0.13333333333333336,0.45
